location_id,Latitude,Longitude,area_code
LOC_0001,-29.054888295044293,26.264241274119083,17
LOC_0002,-30.061945359118393,31.158305143332782,10
LOC_0003,-32.92216215296728,27.91494626047052,19
LOC_0004,-33.97044110411357,25.85910621679124,16
LOC_0005,-26.026179870904897,27.888944154634647,3
LOC_0006,-28.74609089422733,24.711514272808472,25
LOC_0007,-29.1336199708784,26.11571742817175,17
LOC_0008,-29.241231742829196,26.36626582864273,18
LOC_0009,-26.08603645404728,28.1503128811328,1
LOC_0010,-29.982617593563234,30.9438187322194,10
LOC_0011,-34.007556027175866,18.26450225250814,7
LOC_0012,-23.899905753252572,29.574640145054232,24
LOC_0013,-25.72545309795727,28.233402525840663,13
LOC_0014,-33.1735487246196,28.03693761717547,20
LOC_0015,-29.89231282116832,31.01157909089058,10
LOC_0016,-26.080715467203444,28.10673029836504,3
LOC_0017,-29.912967324833343,31.06203187173416,10
LOC_0018,-26.233709763132,27.93638329984389,3
LOC_0019,-33.00538345542416,27.89702702570719,19
LOC_0020,-25.75511525190564,28.0478835986842,14
LOC_0021,-29.22305155023876,26.259410682372724,18
LOC_0022,-33.926542302260046,18.557024774342437,8
LOC_0023,-28.650474146399528,24.839212896008423,25
LOC_0024,-25.554094075781364,31.02332359145368,22
LOC_0025,-29.15744818894858,26.197178986349694,18
LOC_0026,-26.40724469859026,28.26279559676155,32
LOC_0027,-29.728206526931352,31.144923188282135,9
LOC_0028,-26.21385373102568,28.238281945248566,32
LOC_0029,-26.32752994504088,28.247693005670552,32
LOC_0030,-33.95077343998568,25.587440034469314,15
LOC_0031,-34.08036002148955,25.638787945689327,16
LOC_0032,-28.812679642516834,24.8219652146798,26
LOC_0033,-34.18282403537332,18.213154478243805,6
LOC_0034,-34.11202026276033,18.21714482897182,5
LOC_0035,-29.669972738240027,30.838096369560688,11
LOC_0036,-26.30996774969239,28.01378498672202,4
LOC_0037,-26.13006623160228,27.980002441118263,3
LOC_0038,-29.977082198793827,30.819006112038664,11
LOC_0039,-26.086069938135516,28.052403734154804,3
LOC_0040,-25.863129840111757,28.17852572999401,13
LOC_0041,-29.854508090113352,31.185513623810778,10
LOC_0042,-33.0152433821118,28.09116811712192,20
LOC_0043,-33.72721946635734,25.645645034041426,15
LOC_0044,-33.806523448163574,18.29460650615408,7
LOC_0045,-33.073361361289635,27.968205193961236,20
LOC_0046,-29.05149510363495,26.210930292332048,17
LOC_0047,-33.53512859531266,18.37677745431933,7
LOC_0048,-34.213334496287175,18.264911798187637,8
LOC_0049,-34.044248204256874,25.5535779960778,16
LOC_0050,-26.23553463386699,28.00333134830893,1
LOC_0051,-26.26256323407129,28.15061445882482,31
LOC_0052,-26.24991350474948,28.10665383706118,29
