CustomerID,Lat Long,Latitude,Longitude,location_id,Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Device Protection,internet_access_type_sa,ups_included,data_cap,Tech Support,Paperless Billing,payment_method_sa,contract_type_sa,Monthly Charge ZAR,Total Charges ZAR,Churn Label,Churn Value,Churn Score,CLTV,Churn Reason
b60be4eaf0ed94be24015ccd04e144e8d3dc634edb603c5464ec295ac52a63d1,"-29.0549, 26.2642",-29.054888295044293,26.264241274119083,LOC_0001,Male,No,No,No,2,Yes,No,No,Fixed-LTE/5G,Yes,Capped,No,Yes,RETAIL,MTM_POSTPAID,942.38,1892.62,Yes,1,86,3239,Competitor made better offer
b6caa9f989adb0d9a3ded88229beae6bb1bfdb7ca134d7f73942ac5307fc6d2b,"-30.0619, 31.1583",-30.061945359118393,31.158305143332782,LOC_0002,Female,No,No,Yes,2,Yes,No,No,Fibre,No,Uncapped,No,Yes,EFT,MTM_POSTPAID,1237.25,2653.88,Yes,1,67,2701,Moved
e4cc2c63aa32b4e468a1277d6ea397808ae219d641dc7bba8c46935b57e0331f,"-32.9222, 27.9149",-32.92216215296728,27.91494626047052,LOC_0003,Female,No,No,Yes,8,Yes,Yes,Yes,Fibre,No,Uncapped,No,Yes,EFT,MTM_POSTPAID,1743.88,14358.75,Yes,1,86,5372,Moved
c83f09832f2fd163834e5d43e44266af30f344411749f02d16ab844f1e8b6bc5,"-33.9704, 25.8591",-33.97044110411357,25.85910621679124,LOC_0004,Female,No,Yes,Yes,28,Yes,Yes,Yes,Fibre,No,Uncapped,Yes,Yes,EFT,MTM_POSTPAID,1834.0,53305.88,Yes,1,84,5003,Moved
6af411729d60b28896d4de410654e91551023b814133ebe59ff8c4c0a1982bec,"-26.0262, 27.8889",-26.026179870904897,27.888944154634647,LOC_0005,Male,No,No,Yes,49,Yes,Yes,Yes,Fibre,Yes,Uncapped,No,Yes,DEBIT_ORDER,MTM_POSTPAID,1814.75,88135.25,Yes,1,89,5340,Competitor had better devices
7415c84bbd1420c825dfe5388906e2073821ad55f0ae2a49d5a0ae783ec24b97,"-28.7461, 24.7115",-28.74609089422733,24.711514272808472,LOC_0006,Female,No,Yes,No,10,Yes,No,Yes,Fixed-LTE/5G,No,Uncapped,Yes,No,CREDIT_CARD,MTM_POSTPAID,966.0,9246.12,Yes,1,78,5925,Competitor offered higher download speeds
825ef43b0d40a91909d68a34b856d58c8b77142621ae1f343fc20d4cad4c76cc,"-29.1336, 26.1157",-29.1336199708784,26.11571742817175,LOC_0007,Male,Yes,No,No,1,No,No phone service,Yes,Fixed-LTE/5G,No,Uncapped,No,Yes,EFT,MTM_POSTPAID,693.88,693.88,Yes,1,100,5433,Competitor offered more data
cb0a3fefbdd1899b9eb2ae3a04070e8d7c57981373b26b872ae7116e8b5a68c0,"-29.2412, 26.3663",-29.241231742829196,26.36626582864273,LOC_0008,Male,No,No,No,1,Yes,No,No internet service,,No Internet Service,No Internet Service,No internet service,No,RETAIL,MTM_POSTPAID,352.62,352.62,Yes,1,92,4832,Competitor made better offer
84f7da4c24fe9738dd60c884833e3fb0f61009aae04246fd093e47fb6a0ac2e9,"-26.0860, 28.1503",-26.08603645404728,28.1503128811328,LOC_0009,Male,No,Yes,Yes,47,Yes,Yes,No,Fibre,Yes,Uncapped,No,Yes,EFT,MTM_POSTPAID,1738.62,83110.12,Yes,1,77,5789,Competitor had better devices
eea8e70e7ce1ec674a5d08273db3c1a16356cfd5ee630eaad16e947346b742f2,"-29.9826, 30.9438",-29.982617593563234,30.9438187322194,LOC_0010,Male,No,Yes,No,1,No,No phone service,No,Fixed-LTE/5G,Yes,Uncapped,No,No,EFT,MTM_POSTPAID,528.5,528.5,Yes,1,97,2915,Competitor had better devices
9a7e31873678309322ce1c4ab19d98ed5f1a6cac797dd074bcd2e8dabe8fbbba,"-34.0076, 18.2645",-34.007556027175866,18.26450225250814,LOC_0011,Female,No,No,No,17,Yes,No,No,Fixed-LTE/5G,No,Uncapped,No,Yes,RETAIL,MTM_POSTPAID,1132.25,19129.25,Yes,1,74,3022,Competitor offered higher download speeds
96167c3be41a4a099ac124183fc54d58ea06b7e0b53a499a599b2f065b0a9243,"-23.8999, 29.5746",-23.899905753252572,29.574640145054232,LOC_0012,Male,No,No,Yes,5,Yes,No,No,Fibre,No,Uncapped,No,Yes,EFT,MTM_POSTPAID,1219.75,5545.75,Yes,1,66,2454,Competitor offered higher download speeds
a801a6c45ffee029540a850d6e0b037dde1e50bed7c49eff8941b2329a7cfe3d,"-25.7255, 28.2334",-25.72545309795727,28.233402525840663,LOC_0013,Male,No,No,Yes,34,Yes,Yes,Yes,Fibre,Yes,Uncapped,No,Yes,EFT,MTM_POSTPAID,1861.12,62111.88,Yes,1,65,2941,Competitor offered higher download speeds
3318062d479b674d0371fbac30cf93d0fc8ef5fecca51448859d2315e71611cb,"-33.1735, 28.0369",-33.1735487246196,28.03693761717547,LOC_0014,Female,No,No,Yes,11,Yes,Yes,Yes,Fibre,No,Uncapped,No,Yes,DEBIT_ORDER,MTM_POSTPAID,1712.38,19344.5,Yes,1,70,5674,Competitor offered more data
72fef788e1f25f91f1b14e53c7bc5f5ebb080aee3a022900a5ee3f98fe930ce2,"-29.8923, 31.0116",-29.89231282116832,31.01157909089058,LOC_0015,Female,No,No,Yes,2,Yes,No,No,Fibre,No,Uncapped,No,Yes,EFT,MTM_POSTPAID,1411.38,2522.62,Yes,1,90,5586,Competitor offered more data
93fc386cfe42b7eb7c403742fd7f5bcc89e6ee91342cd50dd1a7a20c51fce031,"-26.0807, 28.1067",-26.080715467203444,28.10673029836504,LOC_0016,Female,No,No,Yes,15,Yes,No,No,Fibre,Yes,Capped,No,Yes,CREDIT_CARD,MTM_POSTPAID,1734.25,24962.0,Yes,1,82,2966,Competitor offered more data
490d9c34ee1aa53c23428d80bb0c1839f7d8b0e571ad92cc2148fe07d36ea9c1,"-29.9130, 31.0620",-29.912967324833343,31.06203187173416,LOC_0017,Female,Yes,Yes,Yes,8,Yes,Yes,No,Fibre,Yes,Uncapped,No,Yes,CREDIT_CARD,MTM_POSTPAID,1411.38,11082.75,Yes,1,69,5302,Competitor made better offer
c81cd029b61cfb7be4ee5a8aadcb9aa35787fad6916fccbf48d4209fd06d3d63,"-26.2337, 27.9364",-26.233709763132,27.93638329984389,LOC_0018,Male,Yes,No,Yes,18,Yes,Yes,No,Fibre,No,Uncapped,No,Yes,EFT,MTM_POSTPAID,1670.38,30669.62,Yes,1,81,3179,Competitor made better offer
0eba2313b37fa75a33fe8348374f82b86ccb3715856255d1c45ea19c6fb1c7eb,"-33.0054, 27.8970",-33.00538345542416,27.89702702570719,LOC_0019,Female,No,No,Yes,9,Yes,Yes,No,Fibre,No,Uncapped,No,No,EFT,MTM_POSTPAID,1652.0,15001.88,Yes,1,96,5571,Price too high
9b782743d61cc46beb8c7c0d3df26f1c0948ef23c72b984f27cd62df47978da8,"-25.7551, 28.0479",-25.75511525190564,28.0478835986842,LOC_0020,Female,No,No,Yes,1,Yes,No,No,Fibre,No,Uncapped,No,Yes,EFT,MTM_POSTPAID,1388.62,1388.62,Yes,1,87,2483,Product dissatisfaction
27e58c75d79eca2acfca5c61cfe129ede2b2e4cae5fe0c9880e3123d857b8d82,"-29.2231, 26.2594",-29.22305155023876,26.259410682372724,LOC_0021,Female,No,Yes,Yes,7,Yes,No,Yes,Fibre,No,Uncapped,No,Yes,DEBIT_ORDER,MTM_POSTPAID,1315.12,8695.75,Yes,1,70,3457,Service dissatisfaction
5b1c34b68edd6dccc3871190fb141109580d39a1bc879ee75f98fa85160d9345,"-33.9265, 18.5570",-33.926542302260046,18.557024774342437,LOC_0022,Female,No,No,Yes,12,Yes,Yes,No,Fibre,No,Capped,No,Yes,EFT,MTM_POSTPAID,1381.62,16228.62,Yes,1,86,5806,Lack of self-service on Website
